"kontinent","einwohnerzahl","habitatform","ort","lon","lat"
"Europa",29840,"Kleinstadt","Menorca",4.1104449,39.9496287
"Europa",97260,"Große Mittelstadt","Galicien",-8.1338558,42.5750554
"Europa",346843,"Mittlere Großstadt","Bilbao",-2.9349852,43.2630126
"Europa",688592,"Große Großstadt","Sevilla",-5.9844589,37.3890924
"Europa",3266126,"Millionenstadt","Madrid",-3.7037902,40.4167754
"Lateinamerika",196527,"Kleine Großstadt","La Plata",-57.9535657,-34.9204948
"Lateinamerika",2141652,"Millionenstadt","Havana",-82.3665956,23.1135925
"Lateinamerika",3102361,"Millionenstadt","Quito",-78.4678382,-0.1806532
"Lateinamerika",3113725,"Millionenstadt","Guayaquil",-79.8890662,-2.1894128
"Lateinamerika",8848588,"Megastadt","Bogotá",-74.072092,4.7109886
"Lateinamerika",22577698,"Megastadt","Mexico City",-99.133208,19.4326077
